CLAVE,Genero,Aodeegreso,ies,region,Tipo_prueba,PHCE_NOTA,NOTA_PCE,PRP_NOTA_escritura,asis_phce,nivel2,asis_pcp,PCPInscrita
BA2092000221,Mujer,2015,Universidad Miguel de Cervantes,13,1, , ,3,Asiste,Básica,Asiste,Básica
BB2044245921,Mujer,2015,Universidad Andrés Bello,13,1, , ,3,Asiste,Básica,Asiste,Básica
CA2073768211,Hombre,2016,Universidad De Playa Ancha De Ciencias De La Educación,5,1, , ,2,Asiste,Básica,Asiste,Básica
CB2081539615,Hombre,2015,Universidad San Sebastián,10,1, , ,4,Asiste,Básica,Asiste,Básica
EC1901209421,Mujer,2015,Universidad Católica Silva Henríquez,13,1, , ,4,Asiste,Básica,Asiste,Básica
FG1526676021,Mujer,2015,Universidad de Atacama,3,1, , ,3,Asiste,Básica,Asiste,Básica
FG1530420421,Mujer,2015,Universidad Bernardo O'Higgins,13,1, , ,4,Asiste,Básica,Asiste,Básica
GF1319364521,Mujer,2015,Universidad de Atacama,3,1, , ,2,Asiste,Básica,Asiste,Básica
GG1763664221,Mujer,2015,Universidad San Sebastián,10,1, , ,4,Asiste,Básica,Asiste,Básica
GH1179278721,Mujer,2015,Universidad de Atacama,3,1, , ,4,Asiste,Básica,Asiste,Básica
HG1716574021,Mujer,2015,Universidad Católica Silva Henríquez,13,1, , ,4,Asiste,Básica,Asiste,Básica
HG1910970521,Mujer,2015,Universidad San Sebastián,10,1, , ,3,Asiste,Básica,Asiste,Básica
HI1917550621,Mujer,2015,Universidad San Sebastián,10,1, , ,4,Asiste,Básica,Asiste,Básica
IG1681235921,Mujer,2015,Universidad Andrés Bello,13,1, , ,4,Asiste,Básica,Asiste,Básica
IK1685937921,Mujer,2015,Pontificia Universidad Católica de Chile,13,1, , ,3,Asiste,Básica,Asiste,Básica
JK1546058821,Mujer,2015,Pontificia Universidad Católica de Chile,13,1, , ,4,Asiste,Básica,Asiste,Básica
KM1657103621,Mujer,2015,Universidad Autónoma de Chile,13,1, , ,4,Asiste,Básica,Asiste,Básica
LK1794549521,Mujer,2014,Universidad del Desarrollo,13,1, , ,4,Asiste,Básica,Asiste,Básica
LL1219512821,Mujer,2015,Pontificia Universidad Católica de Valparaíso,5,1, , ,4,Asiste,Básica,Asiste,Básica
LL1448744121,Mujer,2015,Universidad San Sebastián,13,1, , ,4,Asiste,Básica,Asiste,Básica
LM1165368521,Mujer,2015,Universidad Santo Tomás,15,1, , ,3,Asiste,Básica,Asiste,Básica
MK1778483121,Mujer,2012,Pontificia Universidad Católica de Chile,13,1, , ,4,Asiste,Básica,Asiste,Básica
MK1841346821,Mujer,2015,Pontificia Universidad Católica de Chile,13,1, , ,4,Asiste,Básica,Asiste,Básica
ML1026569221,Mujer,2015,Pontificia Universidad Católica de Chile,6,1, , ,4,Asiste,Básica,Asiste,Básica
ML1140246221,Mujer,2015,Universidad Bernardo O'Higgins,13,1, , ,3,Asiste,Básica,Asiste,Básica
ML1385143021,Mujer,2015,Universidad Santo Tomás,8,1, , ,4,Asiste,Básica,Asiste,Básica
NM1337781021,Mujer,2013,Pontificia Universidad Católica de Chile,13,1, , ,4,Asiste,Básica,Asiste,Básica
NM1450253711,Hombre,2013,Universidad de Santiago de Chile,6,1, , ,4,Asiste,Básica,Asiste,Básica
NN1458231911,Hombre,2014,Universidad Católica Silva Henríquez,13,1, , ,4,Asiste,Básica,Asiste,Básica
ON1371954811,Hombre,2013,Universidad San Sebastián,13,1, , ,3,Asiste,Básica,Asiste,Básica
ON1535535221,Mujer,2015,Universidad Andrés Bello,13,1, , ,3,Asiste,Básica,Asiste,Básica
OO1994992711,Hombre,2013,Universidad del Mar,9,1, , ,4,Asiste,Básica,Asiste,Básica
OP1002709521,Mujer,2014,Pontificia Universidad Católica de Chile,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1033747321,Mujer,2015,Universidad del Desarrollo,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1134669221,Mujer,2014,Pontificia Universidad Católica de Chile,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1140062721,Mujer,2014,Pontificia Universidad Católica de Chile,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1140172511,Hombre,2016,Universidad Bernardo O'Higgins,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1190544421,Mujer,2015,Universidad del Desarrollo,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1228305921,Mujer,2015,Universidad Bernardo O'Higgins,13,1, , ,3,Asiste,Básica,Asiste,Básica
OP1230117121,Mujer,2014,Universidad de las Américas,8,1, , ,3,Asiste,Básica,Asiste,Básica
OP1255291221,Mujer,2015,Universidad del Desarrollo,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1280267921,Mujer,2015,Pontificia Universidad Católica de Chile,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1289471321,Mujer,2016,Universidad Bernardo O'Higgins,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1290454421,Mujer,2015,Universidad San Sebastián,8,1, , ,4,Asiste,Básica,Asiste,Básica
OP1294715621,Mujer,2015,Universidad Bernardo O'Higgins,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1294883921,Mujer,2015,Universidad Andrés Bello,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1317567621,Mujer,2015,Universidad de Concepción,8,1, , ,4,Asiste,Básica,Asiste,Básica
OP1389709111,Hombre,2014,Universidad de las Américas,8,1, , ,4,Asiste,Básica,Asiste,Básica
OP1478190321,Mujer,2015,Universidad de Concepción,8,1, , ,3,Asiste,Básica,Asiste,Básica
OP1502759321,Mujer,2015,Universidad del Desarrollo,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1511693621,Mujer,2014,Pontificia Universidad Católica de Chile,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1528366321,Mujer,2014,Pontificia Universidad Católica de Chile,13,1, , ,4,Asiste,Básica,Asiste,Básica
OP1529208111,Hombre,2015,Universidad Bernardo O'Higgins,13,1, , ,4,Asiste,Básica,Asiste,Básica
